Is my eye glass prescription still on file 	I do not know if your eye glass prescription is still on file 	A31A4YKVSOYRVS	
How do I start my search 	I do not know how you should start your search 	A1AF392CLGHH0X
Are tours of the route available 	I do not know whether tours of the route are available 	A2NI2HSU84PHJW
Does the amount of sales tax you charge differ depending on what state you ship to 	I do not know the amount of sales tax charged 	AD9O852KPYLHY	
If it says zero in stock , is that really true 	I do not know how many are in stock 	AD9O852KPYLHY	
Can I do work experience at the zoo 	I am not able to tell you if you can do work experience at the zoo 	A2UBEPT605E8T2
Can I pay more than my scheduled monthly device payment installment 	I do not know if you can pay more than your scheduled monthly device payment installment 	A3RD486RQUI2XV
About how many days will it take for the letter to arrive 	I do not know how many days it will take for the letter to arrive	AYJGJAIY0EXW
What special events are planned for this year 	I do not know what special events are planned for this year 	A7SXWHGK8B40R
Where is Hilo Hawai'i 	I do not know where Hilo Hawai'i is 	A18RMWE4BKHG6R
When do the museum aircraft fly 	I do not know when the museum aircraft fly	ATQD23E8ESFSI
What dances can I learn in private lessons 	I do not know what dances you can learn in private lessons 	A1JBSFXMMRGSQD
Where on site can I nurse my child 	I do not know where you can nurse your child on site 	A9LX66EQWDRQ5
How to change the DNS records 	I do not know how to change the DNS records 	A2VIKCIM9TZL22
I am vegetarian . What menu items can I eat 	I do not know what menu items you can eat 	A3G2FBKYCRD5Q8
How can I find a physical store location 	I am not able to find you a physical store location 	A112W2FKT6UT62
Once I become an American Friend , how long does it take for the membership to be active 	I do not know how long it takes for the membership to be active 	A2NI2HSU84PHJW
Are there built in speakers on this product , or do I have to purchase them separately 	I do not know if there are built in speakers or if you have to purchase them separately 	A31A4YKVSOYRVS	
How will I know which candidate -LRB- s -RRB- background check charges apply to 	I do not know how you will know which candidate -LRB- s -RRB- background check charges apply to 	A116N2LEI6O7HB
Who are the co-sponsors of the special exhibitions 	I do not know who the co-sponsors are 	A13GUTDMGGZZDL
What is the purpose of the ICOM Code of Ethics for Museums 	I do not know the purpose of the ICON Code of Ethics for Museums 	A2NI2HSU84PHJW
What options do you have with that product 	I do not know what the options are with that product 	AJKA9BKC011F2
What educational expenses are considered to be ' current ' educational expenses 	I do not know what educational expenses are considered to be current educational expenses 	A2NI2HSU84PHJW
My spouse and I are filing separate returns . How do we split our itemized deductions 	I do not know you split your itemized deductions if you and your spouse are filing separate returns 	A16VTK6KZ1U69H
Is the IRS Form 941-M still in use 	I do not know if the IRS Form 941-M is still in use 	A2NI2HSU84PHJW
May an employer freeze a pension plan 	I do not know if an employer may freeze a pension plan 	AJ7E01X4TAGHL
Can I bring a lunch and eat on the grounds 	I do not know if you can bring a lunch and eat on the grounds 	A2UBEPT605E8T2
Are you able to give a refund if I do n't like the product 	I do not know if we are able to give a refund if you do n't like the product 	A31A4YKVSOYRVS	
Do Members get special discounts in the shops and cafés 	I do not know if members get special discounts in the shops and cafes 	A3SS1F4F3JE7CU
Are tables and chairs included in the rental fee 	I am not able to tell you if tables and chairs are rent free	APF1EAZT104LQ
Is it possible to check out as a guest in the online store	I do not know if you can check out as a guest 	A1HQRT1UG6ERGL
Can you update my billing info 	I am not able to update your billing info 	A1F04SJJSSWA1N
Are your teachers accredited or certified 	I do not know if my teachers are accredited or certified 	A3722NOMVUK89T
Do you have this available in a larger size 	I do not know if it is available in a larger size	A1F04SJJSSWA1N
What has changed on the new Verizon Plan Unlimited 	I do not know what has changed on the new Verizon Plan Unlimited 	A3U0VQ420HIMQ0
Who should write my letter of recommendation 	I do not know who should write your letter of recommendation 	A2VIKCIM9TZL22
Does DivX video work only with a DivX VOD server 	I do not know if DivX video works only with DivX VOD server 	A3SS1F4F3JE7CU
I need an ETA for my shipment to arrive 	I do not know the ETA for the shipment to arrive 	A3O81LHBBI8NPK
How long will it take to process my membership 	I do not know how long it will take to process your membership 	A116N2LEI6O7HB
What is a teaching museum 	I do not know what a teaching museum is 	A13GUTDMGGZZDL
When is it appropriate to give no increase 	I do not know when it is appropriate to give no increase 	A1S8DYWNS59XWB
How should an employer report wages and benefits paid to an employee in anticipation of employment if the employee is terminated before the first day of work 	I do not know how an employer can report wages and benefits to an employee in anticipation of employment if the employee is terminated before the first day of work 	A234VIHHUHPZG5
Can I put special delivery options in this order to have it brought inside because it 's a heavy item 	I am not able to put special delivery options in this order 	A1YKWG46AWMPUX	
Is a fresh cut really necessary before putting a tree in a water stand 	I do not know if a fresh cut is necessary before putting a tree in water stand 	A2LQ9NP944M61Z
How soon will my passport be ready 	I do not know how soon your passport will be ready 	A3GNQDFPZALU92	
Do you have any recommendations for matching items in a similar color scheme 	I do not know if we have any recommendations for matching items in a similar color scheme	A23CTGXNDDW5LC	
Why do my hours worked display in decimals 	I do not know why your hours worked are displayed in decimals 	A16NITTBMCSN0V
Is it too late to alter the details of my order 	I am not able to alter the details of your oder 	A185P3B2MC2K83
What is your cancellation/deposit policy 	I do not know what our cancellation/deposit policy is 	A3I9FTHSULHPYS
How do I get access to PiMS 	I do not know how you get access to PiMS 	A2NI2HSU84PHJW
In processing applications for HUBZone certification , what does SBA do if the applicant does not submit any corroborative documentation identified in the Document Request List 	I am not able to tell you what SBA does if an applicant does not submit any corroborative documentation identified in the Document Request List when processing applications for HUBZone certification 	A1JBSFXMMRGSQD
Q -- How can I get to the Museum	I do not know how to get to the museum 	A16VTK6KZ1U69H
Why is n't See 's sugar free candy called ' sugar free chocolate ' 	I do not know why See 's sugar free candy is not called sugar free chocolate 	A2VIN0EE9BGPSH
Do you carry this lipstick in a darker color 	I do not know if we arry this lipstick in a darker color 	A325WS381BHOHH	
Is there any recommended course for gallery visit 	I do not know if there is any recommended course for gallery visits 	AJ7E01X4TAGHL
Can I rent the museum facility for an event or film shoot 	I do not know if you can rent the museum facility for an event or film shoot 	APC99TPURUHR8
How many animals does the Zoo have 	I do not know how many animals the zoo has 	A16VTK6KZ1U69H
Who can use my membership 	I do not know who can use your membership	A16184N1RO5OJV
I am just wondering if I could change the due date for my bill 	I do not know if you could change the due date 	A1J17BE20G6DKA
What happens if I 'm late on returning a rental 	I do not know what happens if your late on returning a rental 	AD9O852KPYLHY	
I would like to like to change the address on my profile 	I am not able to change the address on your profile 	A2PKDWREQV1JTR
What is the goal of the performance management and appraisal process 	I do not know what the goal of the performance management and appraisal process is 	A7SXWHGK8B40R
What is your fastest delivery option	I do not know what the fastest delivery option is 	AJQGWGESKQT4Y
Can my child try out or observe a class before signing up 	I do not know if your child can try out or observe a class before signing up 	AGYTXEJ804L4W
How many guests are allowed in the room 	I do not know how many guests are allowed in the room 	A16VTK6KZ1U69H
Why is the tracking number for my package not working 	I do not know why the tracking number for your package is not working 	AE9M4Z1NCYSDM	
I have already completed the test for the same position on another requisition . Why do I keep getting an invite to test 	I do not know why you keep getting an invite to test	A3NHJPE6326P9V
What is the difference between ' document ' and ' non-document ' or ' product ' shipments for international shipping 	I do not know what the difference is between ' document ' and ' non-document ' or ' product ' shipments for international shipping 	A9LX66EQWDRQ5
Can you help me reschedule my appointment 	I am not able to help you reschedule your appointment 	A3GNQDFPZALU92	
Is there a limit of how many children 1 adult can bring 	I do not know if there is a limit of how many children 1 adult can bring 	A2HKTM4Z8652
How does the outcome of contract negotiations with one union at Princeton impact the negotiations and expectations surrounding negotiations with other bargaining units 	I do not know how the outcome of contract negotiations with one union at Princeton will impact the negotiations and expectations surrounding negotiations with other bargaining units 	A18KR781AUQBA6
If someone 's dog calms them when having an anxiety attack , does this qualify it as a service animal 	I do not know if someone 's dog calming them when having an anxiety attack qualifies the animal as a service animal 	A2K9PB0U45O0MU
Has my order shipped yet 	I do not know if your order has shipped yet 	A9LX66EQWDRQ5	
Can I use Shipped by Newegg if I do n't sell on the Newegg.com 	I do not know if you can use Shipped by Newegg if you do n't sell on the Newegg.com 	A3L8LSM7V7KX3T
Is my membership at Science Museum Oklahoma valid at other Oklahoma museums 	I do not know if the Science Museum Oklahoma membership is valid at other Oklahoma museums 	A234VIHHUHPZG5
Are applicants required to pay for background checks 	I do not know whether applicants are required to pay for background checks 	AI3HPZQC9GMBY
If I keep my group/family rate plan when I move to AT&T , can I still add lines of service later 	I do not know if you can still add lines of service if you keep your group/family rate plane when you move to AT&T 	A2115OWJ0CKOB3
I 've lost/misplaced my membership cards ! What should I do 	I do not know what you should do 	A2NI2HSU84PHJW
Is your live chat available 24/7 	I do not know if our live chat is available 24/7	APF1EAZT104LQ
Can a health plan require a provider to accept Virtual Credit Card payments 	I do not know if a health plan can require that 	A13GUTDMGGZZDL
Do you have a customer loyalty program	I do not know if we have a customer loyalty program 	A211IP73OBSU2D
Is there an extra fee to withdraw cash with my credit card 	I do not know if there is an extra fee to withdraw cash with your credit card 	AHGM882UX7S4T	
Is there kosher food at the museum 	I do not know if there is kosher food at the museum 	A8O98QNRG9SHV
How do I get my discounts on shopping , food and other tickets -- like special exhibits 	I do not know How to get the discounts on shopping , food and other tickets -- like special exhibits	ATQD23E8ESFSI
What MARTA train route should I take 	I do not know which MARTA train route you should take 	A2K9PB0U45O0MU
When is the payment due 	I do not know when the payment is due 	A7SXWHGK8B40R
Where can I find the most recent Congressional Record 	I am not able to say where you can find the most recent Congressional Record	A1CMT9MVUO52VP
How can I receive World of Coca‑Cola email updates 	I do not know how you can receive World of Coca-Cola email updates 	A3SS1F4F3JE7CU
How long does it take to get started 	I do not know how long it takes to get started 	A3U6CLX7HD0SMF
Do I need any special tools to mount slides 	I do not know if you need any special tools to mount slides 	A83LGA6YEC488
What are International Services while in the US 	I do not know what International Services are in the US 	A2D0IIX70FDQIW
Is it a good idea to buy the car at the end of the lease 	I do not know if it 's a good idea to buy the car 	A13GUTDMGGZZDL
How much does it cost to visit the Museum 	I do not know the cost of a Museum visit 	AF1VPADWTM40W
Is my car included in the manufacturer recall 	I do not know if your car is included in the manufacturer recall 	A9LX66EQWDRQ5	
Is outside food allowed in the Zoo 	I do not know if outside food is allowed in the zoo	A23CTGXNDDW5LC
Can I handle returns online , or does it have to be by phone 	I do not know if you can handle returns online or if it has to be by phone 	ASFR82SJYMGNU
Are parents allowed into the studio while classes are in session 	I do not know if parents are allowed into the studio while classes are in session 	A3CL6GEDFNQGQY
What is the 9/11 Memorial Museum 	I do not know what the 9/11 Memorial Museum is 	A7SXWHGK8B40R
How can I update my information online 	I do not know how you can update your information online 	ARCNENCVA0STW	
Must I know in advance what I want to see 	I do not know if you must know in advance what you want to see 	A13GUTDMGGZZDL
Can I purchase health products by phone instead of online 	I do not know if you can purchase health products by phone instead of online	APF1EAZT104LQ
Is it true that tickets for The Polar Express ™ sell quickly 	I do not know if tickets for THe Polar Express ™ sell quickly 	A3NZLRU95OULXB
What is not included in the price 	I do not know what is not included in the price 	A2VIKCIM9TZL22
Can I transfer my online booking date 	I do not know how you can transfer your online booking date 	A2NI2HSU84PHJW
Can I put the service on hold for a month while I 'm out of the country 	I do not know if you can put the service on hold for a month 	AD9O852KPYLHY	
What is the closest location to my zip code 	I do not know what the closest location to your zip code is 	A9LX66EQWDRQ5	
When will a new tour open 	I do not know what a new tour will open 	A13GUTDMGGZZDL
How has the museum evolved from its inception 	I am not able to comment on the museums evolution over time 	A1YCGICA8XCNBH
Can you tell me if you can order this in custom colors 	I do not know if you can order this item in custom colors 	A31A4YKVSOYRVS	
What can developers do now that they could not before 	I do not know what developers can do now that they could not do before 	APC99TPURUHR8
How is a presidential library different from my local library 	I do not know how a presidential library is different from your local library 	A7SXWHGK8B40R
What data speeds can I expect from my 4G LTE device while traveling outside the US 	I do not know what data speeds you can expect from your 4G LTE device while traveling outside the US 	A11TABPKSVOOFT
Can I purchase a Community Value membership on a blackout date 	I do not know if you can purchase a Community Value membership on a blackout date 	A3CL6GEDFNQGQY
What kind of tree stand should I use 	I do not know what kind of tree stand you should use	A23CTGXNDDW5LC
I am planning a day-trip for my family . What other things are in the area that we might enjoy 	I do not know what other things are in the area that you might enjoy 	A2NI2HSU84PHJW
What bus stops at the Miffy Museum 	I do not know what bus stops at the Miffy Museum	A5VBIZ2KIQ1R8
Can you tell me why my account is negative 	I am not able to tell you why your account is negative 	A31A4YKVSOYRVS	
How soon can animal control come out to capture this bear in my yard 	I am not able to tell you how soon animal control can come out to capture the bear in your yard 	A31A4YKVSOYRVS	
Could you email me another copy of my order to my other email 	I am not able to email you another copy of your order to your other email 	A2EAJXBORHT44T	
Where can I find order history online 	I do not know where you can find your order history online 	A1IMXDZOTXABBE	
Can I exchange this camera for one with better battery life 	I am not able to exchange this camera for one with better battery life 	AE9M4Z1NCYSDM	
What dances can I learn in group lessons 	I do not know what dances you can learn in group lessons 	A1IPD4WBT3A5GG
How much is insurance on these shipments 	I do not know how much insurance is on these shipments 	AE9M4Z1NCYSDM	
Does your restaurant offer any vegan options 	I do not know if our restaurant offers any vegan options 	ARCNENCVA0STW	
Can I bring my lunch in with me 	I do not know if you can bring your lunch in with you	A23CTGXNDDW5LC
What can I do if I do n't receive my package 	I do not know what you can do if you do n't receive your package 	A325WS381BHOHH	
It says online that you are out of stock of an item I really wanted , when are you getting more of them 	I do not know when more will be in stock 	AQGBE43JMWHSR
How long does it take from the time I order cabinets until they are delivered 	I do not know how long it will take from the time you order cabinets until they are delivered 	A7SXWHGK8B40R
The invite you have sent your employee is not working 	I do not know what to do if the invite you sent is not working 	A13GUTDMGGZZDL
What are the tax consequences of paying for an employee 's job-related moving expenses 	I do not know what the tax consequences are of paying an employee 's job-related moving expenses 	A3G2FBKYCRD5Q8
Is child support considered earned income when calculating the earned income credit 	I do not know if child support is considered earned income when calculating the earned income credit 	A7SXWHGK8B40R
When is the Alden B. Dow Office Museum Open 	I do not know when the Alden B. Dow Office Museum is open 	AT7ADQKXKXEWY
Can I land my plane at the Museum	I do not know if you can land your plane at the museum 	A2K9PB0U45O0MU
What tools can be helpful in succession planning 	I do not know what tools can be helpful in succession planning 	A3G2FBKYCRD5Q8
How much does it cost to visit the Tombstone Epitaph Museum 	I do not know how much it costs to visit the Tombstone Epitaph Museum 	A13GUTDMGGZZDL
How do I go about changing my shipping information 	I do not know how you would go about changing your shipping information 	A8F4B0854KTXO	
Can I split payment between 2 credit cards 	I do not know if we are able to split payments between 2 credit cards 	A31A4YKVSOYRVS	
What is the difference between Jazz and Hip Hop 	I do not know the difference between Jazz and Hip Hop 	A8O98QNRG9SHV
what are the hours of your store 	I do not know the hours of our store 	A1YKWG46AWMPUX	
Is live chat available on your website 	I do not know if chat is available on our website 	A3SZ3W7V3GUN8Z
Can I pay with a Visa card 	I do not know if you can pay with a Visa card 	A1GAARR4GOOZCO	
How long will it take to get there 	I do not know how long it will take to get there 	A3U6CLX7HD0SMF	
Am I eligible for an upgrade 	I do not know if you are eligible for an upgrade 	A1F04SJJSSWA1N
Can a DivX DRM protected file be copied and played on another computer , such as the consumer 's work computer 	I do not know if a DivX DRM protected file can be copied and played on another computer , such as the consumer 's work computer 	A1JBSFXMMRGSQD
When will my package arrive 	I do not know when your package will arrive 	A325WS381BHOHH	
If my child is sick or misses class for any other reason , can she/he make it up 	I do not know if your child is sick or misses class for any other reason , if she/he make it up 	A3RD486RQUI2XV
What does store credit mean 	I do not know what store credit means 	A3SZ3W7V3GUN8Z
How many miles per gallon does this car get 	I do not know how many miles per gallon this car gets 	A9LX66EQWDRQ5	
Do you guys charge taxes on overseas shipments 	I do not know if we charge taxes on overseas shipments 	A3RD486RQUI2XV
Is there accessible seating 	I do not know if there is accessible seating 	A2K9PB0U45O0MU
Is the Art Studio open to everyone who visits the Museum 	I do not know if the Art Studio is open to everyone who visits the Museum 	A116N2LEI6O7HB
What are the prices for a cabana and can we reserve one on the website 	I do not know the prices for a cabana or how you can reserve one on the website 	A1BQI9JKLVCIL0
How can I find out more about accessibility for people with disabilities 	I do not know how you can find out more about accessibility for people with disabilities	A3U0VQ420HIMQ0
I deleted my email with the order number 	I am not able to email you the order number 	AJNQ2PBD07FKE
How do I check my account 	I do not know how you check your account 	A3GNQDFPZALU92	
Do I need to buy a museum ticket to visit the Edward Jones Research Center , the museum store or the over there café	I do not know if you need to buy a museum ticket 	A3B2YRXL26RPVH
Is internet access available for visitors in the Museum 	I do not know if internet access is available for visitors in the Museum 	A3B2YRXL26RPVH
Do you offer free shipping 	I do not know if we offer free shipping 	AJKA9BKC011F2
How to change the administrative or technical contact 	I do not know how to change the administrative or technical contact 	A1XNCA1SVTT15B
Why is my driver history recorded 	I do not know where you 're going to use the stuff you are learning 	A8O98QNRG9SHV
Why does shipping cost so much 	I do not know why shipping costs so much 	A260AFDCSXBQOH
How can I reach you if I need more information 	I do not know how you can reach me 	A13GUTDMGGZZDL
Can I adjust the number of emails your company sends to me	I am not able to adjust the number of emails 	AJNQ2PBD07FKE
Where are you guys shipping from 	I do not know where we are shipping from 	A185P3B2MC2K83
Can I get a quote for service 	I do not know if you can get a quote for service 	AD9O852KPYLHY	
Do you sell Chrissy Tiegen 's cookbook 	I do not know if we sell Chrissy Tiegen 's cookbook 	A3SSJNH5SIZUPG	
Does Kemppi sell plasma cutters , products designed for underwater welding or for submerged arc welding 	I do not know if Kemppi sell plasma cutters , products designed for underwater welding or for submerged arc welding 	A1IMICF9ISISZN
Do employers have to provide a lactation space even if they do n't have any nursing mother employees 	I do not know if they have to provide a lactation space 	A2NI2HSU84PHJW
I find the images at the table distracting . How do I turn them off 	I do not know how to turn off the images at the table	ATQD23E8ESFSI
Is my membership tax-deductible 	I do not know if your membership is tax deductible 	A16NITTBMCSN0V
I already placed an order , can I add to it 	I do not know if you can add to your order 	AD9O852KPYLHY	
When is the registration fee due 	I do not know when the registration fee is due 	A2K2MFQMN31DZ
Do you have this same product available in your Arizona warehouse 	I do not know if we have this same product available in our Arizona warehouse 	A325WS381BHOHH	
Is it possible to get cruise control without ordering the deluxe interior 	I do not know if you can get cruise control without ordering the deluxe interior 	A9LX66EQWDRQ5	
Who staffs the Camp-In 	I do not know who staffs the Camp-In 	APC99TPURUHR8
Is there a cancellation policy 	I do not know if there is a cancellation policy 	A13GUTDMGGZZDL
Are your products ethically sourced 	I do not know if our products are ethically sourced 	A1F04SJJSSWA1N
Why ca n't I sit in the cockpits of the aircraft 	I do not know why you ca n't sit in the cockpits of the aircraft 	A2K9PB0U45O0MU
What is the My Verizon app 	I do not know what the My Verizon app is 	A2HKTM4Z8652
How often are classes offered	I do not know how often classes are offered	A23CTGXNDDW5LC
When am I eligible to participate in the employee benefits programs 	I do not know when you are eligible to participate in the employee benefits programs 	A280TORYM293P6
How many packages do you offer 	I do not know how many packages we offer 	A8F4B0854KTXO	
What is your website address 	I do not know my website address 	AE9M4Z1NCYSDM	
I have received an error message stating my entry contained invalid characters . Which characters are valid 	I do not know which characters are valid 	A2NI2HSU84PHJW
Can I use my cards at other museums 	I do not know if you can use your cards at other museums 	A2NI2HSU84PHJW
What is the difference between Airport transit visa and Transit visa 	I do not know the difference between the airport transit visa and transit visa 	A2NI2HSU84PHJW
What should I bring to class 	I do not know what you should bring to class 	A2NI2HSU84PHJW
If I have a class reservation , what do I do when I arrive at the Ailey Studios 	I do not know when you should arrive at the Ailey Studios 	A13GUTDMGGZZDL
Where should buses drop-off students and park 	I do not know where buses should drop-off students and park 	A1JBSFXMMRGSQD
How does KAM manage image rights and permissions for art in the permanent collection 	I do not know how KAM manages image rights and permissions for art in the permanent collection 	A1JBSFXMMRGSQD
Can I order a gift card online	I do not know if you can order a gift card online 	A3SZ3W7V3GUN8Z
Are motorized wheel chairs available for rent 	I do not know if motorized wheel chairs are available for rent 	A1JBSFXMMRGSQD
Can i change my shipping address 	I do not know if you can change your shipping address	A23CTGXNDDW5LC	
Can Grandparents claim grandchildren 	I do not know if Grandparents can claim grandchildren 	A3NZLRU95OULXB
Are you a real person 	I do not know if I am a real person	A23CTGXNDDW5LC
What forms of payment do you accept 	I do not know what forms of payment we accept 	A11IEP7J8XSE1C
Do you have a floral scented perfume here 	I do not know if we have a floral scented perfume here 	A9LX66EQWDRQ5	
Can an employer charge any fees to employees who enroll in its paycard program 	I do not know if an employer can charge any fees to employees who enroll in its paycard program 	A2NI2HSU84PHJW
What is the product you use at home 	I do not know the product I use at home 	A1JBSFXMMRGSQD
How can I , as an employee , prepare myself to conduct a performance appraisal 	I do not know how you , as an employee , can prepare yourself to conduct a performance appraisal 	A2K9PB0U45O0MU
How long do I have to return this dress 	I am not able to tell you how long you have until you have to return the dress 	A2CEGV4ZIZWRKY	
Can I apply the in store promotion online 	I do not know if you can apply the in store promotion online 	AJQGWGESKQT4Y
Do you accept returns 	I do not know if we accept returns	A23CTGXNDDW5LC
What needs to be included in NIH competing -LRB- new and renewal -RRB- applications and progress reports to provide certification of compliance with FDAAA or the NIH Policy 	I do not know what needs to be included in NIH competing -LRB- new and renewal -RRB- applications and progress reports to provide certification of compliance with FDAAA or the NIH Policy 	AZLZA0Q87TJZO
Does the museum have lockers , as well as a Cloakroom 	I do not know if the museum has lockers as well as a Cloakroom 	A3G2FBKYCRD5Q8
When is the last day that I can apply for the Medicaid EHR Incentive Program in 2012 	I do not know the last day that you can apply for the Medicaid EHR Incentive Program in 2012 	A1X3SF2W1QQBY1
Can new conditions be added to a licence after -LRB- i -RRB- an informal inspection ; -LRB- ii -RRB- periodical inspection ; -LRB- iii -RRB- special inspection ; or -LRB- iv -RRB- at any other time 	I do not know if new conditions can be added to a licence after -LRB- i -RRB- an informal inspection ; -LRB- ii -RRB- periodical inspection ; -LRB- iii -RRB- special inspection ; or -LRB- iv -RRB- at any other time 	A1JBSFXMMRGSQD
Is your pharmacy open on weekends 	I do not know if the pharmacy is open on weekends 	A3GNQDFPZALU92	
How is my home address used 	I do not know how your home address is used 	A2NI2HSU84PHJW
I need to know when exactly my order will be shipped out 	I do not know when exactly your order will be shipped out 	A185P3B2MC2K83
I am a teacher . Can my jury service be deferred to the summer 	I do not know if your jury service be deferred to the summer 	APC99TPURUHR8
If an employer is unsure whether an employee gave notice of his or her intent to take Family and Medical Leave Act -LRB- FMLA -RRB- leave , must the employer inquire further 	I am not able to tell you if the employer needs to inquire further	APF1EAZT104LQ
Do you have a phone case that will fit my phone 	I do not know if we have a phone case that will fit your phone 	A3VV5FFG6GXE1S	
Where is my bill information located	I do not know where your bill information is located	AJKA9BKC011F2
Does it matter who I name as my second cardholder 	I do not know if it matters who you name as your second cardholder 	AQ9Y6WD8O72ZC
Are Pre booked tickets refundable 	I do not know if pre-booked tickets are refundable 	A2NI2HSU84PHJW
Can I post pone my start date 	I am not able to post pone your start date 	A9LX66EQWDRQ5	
WHY HAVE I not received my confirmation slip despite registering and making payment	I do not know why you have not received your confirmation slip despite registering and making payment 	A1JBSFXMMRGSQD
Is the Gallery available for private event rentals 	I do not know if the Gallery is available for private event rentals 	A16VTK6KZ1U69H
Where can I find live animals in the Museum 	I do not know where you can find live animals 	A13GUTDMGGZZDL
What kind of license is needed to rent the mini excavator 	I do not know what kind of license is needed to rent the mini excavator 	A31A4YKVSOYRVS	
My product is no longer working , how can I return it 	I do not know how you would return the product 	AI4AO0O0WIJF7
How many tickets can I purchase	I do not know how many tickets you can purchase 	A2NI2HSU84PHJW
What documentation do I need to provide when I pick my product up in store 	I do not know what documentation is needed for pick up in store 	AJNQ2PBD07FKE
Can you let me know the return policy of this custom order products	I do not know the return policy 	AMW07CJC3OJIB
What do I need for my inspection 	I do not know what you need for your inspection 	A1JBSFXMMRGSQD
What are Blue Credits 	I do not know what Blue Credits are 	A16VTK6KZ1U69H
I need an updated bill 	I am not able to give you an updated bill 	A9LX66EQWDRQ5	
I accidentally made two payments , can one be reversed 	I am not able to reverse one of the payments 	A31A4YKVSOYRVS	
Will I receive a tracking number for my order 	I do not know if you will receive a tracking number for your order 	A9LX66EQWDRQ5
How do I take advantage of the ' Invitation to VIP Behind-the-Scenes Tour ' or the ' Private Reception with Executive Director 	I do not know how you take advantage of the ' Invitation to VIP Behind-the-Scenes Tour ' or the ' Private Reception with Executive Director 	A3I9FTHSULHPYS
When should vacation pay be taxed as supplemental wages 	I do not know when vacation pay should be taxed as supplemental wages 	A7SXWHGK8B40R
Who owns the National Park 	I do not know who owns the National Park 	A3CL6GEDFNQGQY
Do you charge sales tax 	I am not able to answer if we charge sales tax 	A2C3I4DWGVPA1O
What is the lifetime learning credit 	I do not know what the lifetime learning credit is	A23CTGXNDDW5LC
What if my students want to visit the Museum Store 	I do not know what to say if your students want to visit the Museum Store 	A116N2LEI6O7HB
How much is shipping 	I do not know how much shipping is 	A31A4YKVSOYRVS	
When does my discount code expire 	I do not know when the code expires 	A113OGTB578EF6	
Is a job applicant protected under the National Labor Relations Act -LRB- NLRA -RRB- 	I do not know if a job applicant is protected under the National Labor Relations Act -LRB- NLRA -RRB- 	A8O98QNRG9SHV
Why do n't your preset answers include -LSB- fill in the blank -RSB- 	I do not know why our preset answers include -LSB- fill in the blank -RSB- 	AT7ADQKXKXEWY
Can I pay over the phone 	I do not know if you can pay over the phone 	A8F4B0854KTXO	
Is GRAM accessible to people with special needs 	I do not know if the GRAM is accessible to people with special needs 	A2TP3K1THK6XRB
What is an active shooter situation 	I do not know what an active shooter situation is 	AFS36YMNN8A2J
Is it possible to book spa treatments online 	I do not know if it is possible to book spa treatments online 	A1JBSFXMMRGSQD
I need to file a complaint against the previous person that spoke to me 	I do not know how you would file a complaint against the previous person that spoke to you	AYJGJAIY0EXW
Who will be attending the CDC Disease Detective Camp 	I do not know who will be attending the CDC Disease Detective Camp 	A1J0GU26323WVA
Do you have a pay as you go plan 	I do not know if we have a pay as you go plan 	ASFR82SJYMGNU
What qualifies as a ' community ' venue 	I do not know what qualifies as a ' community ' venue 	A7SXWHGK8B40R
How long is the application examination period 	I do not know how long the application examination period is 	A13GUTDMGGZZDL
What nutrients does peanut butter provide 	I do not know what nutrients peanut butter provides 	A20WRVVT7WQFT7
Can I return this product in-store 	I do not know if you can return this product in-store 	A260AFDCSXBQOH
Do you have a mailing list I can sign up for 	I do not know if there is a mailing list 	A1HQRT1UG6ERGL
I 'm not sure of the name of the ship my relative came here or served on -- can you help me 	I am not able to help you find out the name of the ship your relative came here or served on 	A16VTK6KZ1U69H
Can you tell me which print cartridge to order for my printer 	I do not know which print cartridge you should order for your printer 	A9LX66EQWDRQ5	
Why do I have to pay admission and how much does it cost	I do not know why you have to pay admission and how much it costs	A23CTGXNDDW5LC
How does TrueCar use information about me 	I do not know how TrueCar uses information about you 	A16NITTBMCSN0V
Can I buy any Chester Zoo related gifts 	I do not know if you can buy any Chester Zoo related gifts 	A1IMICF9ISISZN
Can I become a member of the Zoo 	I do not know if you can become a member of the Zoo 	AI3HPZQC9GMBY
What do I do when a parking pay machine or parking meter malfunctions 	I do not know what to do when the parking meter malfunctions 	A2NI2HSU84PHJW
How should an employer handle an employee or supervisor who has caused or contributed to a hostile work environment 	I do not know how an employer should handle an employee or superviser who has caused or contributed to a hostile work environment	A2L0QFWMJU0AXB
How do I purchase my current vehicle 	I do not know how you purchase your current vehicle 	A2EJ7U3TZAKROG
Please stop sending me catalogs 	I am not able to stop sending you catalogs	A23CTGXNDDW5LC	
The codpiece I ordered for my dog does n't fit , and he need his medieval costume in 2 days , can you rush the bigger one to me 	I am not able to rush the bigger codpiece to you for your dog 	A3GNQDFPZALU92	
Is there a way I can set up AutoPay on this account 	I do not know a way you can set up AutoPay on this account	A23CTGXNDDW5LC
Who do I contact for technical support including Hardware and Software repair service 	I do not know who you should contact for technical support including Hardware and Software repair service 	APC99TPURUHR8
Is there a parent drop off area 	I do not know if there is a parent drop off area 	A1JBSFXMMRGSQD
Are there any points or rewards that I can use 	I do not know if there are any points or rewards that you can use 	A2YQAE441JMA7V	
How often do the displays change 	I do not know how often the displays change 	A2NI2HSU84PHJW
If I do not qualify for a change in status can I still change my benefits 	I do not know if you can still change your benefits 	A13GUTDMGGZZDL
