Do you know how long before my order ships 	I do not know how long before your order ships	A23CTGXNDDW5LC	
How are coupons and discounts handled 	I do not know how coupons and discounts are handled 	A2K9PB0U45O0MU
When is tuition due 	I do not know when tuition is due	ATQD23E8ESFSI
My passport with my visa was stolen , what should I do 	I do not know what you should do 	A2NI2HSU84PHJW
Will I lose time on my membership if I renew early 	I do not know if you will lose time on your membership if you renew early 	A1RVRBKEQL1ZPG
Can I volunteer with the Virginia Zoo 	I do not know if you can volunteer with the Virginia Zoo 	A2K9PB0U45O0MU
How is overtime determined for prior pay period corrections 	I do not know how overtime is determined for prior pay period corrections 	A2TP3K1THK6XRB
How long does it take to go through the Museum 	I do not know how long it takes to go through the Museum 	A1YUEWAWRZ590A
Can multiple qualifying items be purchased in a single tax-exempt transaction 	I do not know if multiple qualifying items can be purchased in a single tax-exempt transaction 	A2NI2HSU84PHJW
How do I obtain a copy of my prior year return using H&R Block online 	I do not know how you can obtain a copy of your prior year return using H&R Block online 	A1JBSFXMMRGSQD
What is proper museum etiquette 	I do not know what the proper museum etiquette is 	A2LQ9NP944M61Z
Are community property laws taken into account in determining earned income for purposes of the dependent care credit , the refundable portion of the child tax credit , the earned income credit , and the making work pay credit 	I do not know if community property laws are taken into account in determining earned income for purposes of the dependent care credit , the refundable portion of the child tax credit , the earned income credit , or the making work pay credit 	A2HKTM4Z8652
Can I take a month off of the subscription service 	I do not know if you can take a month off of the subscription service	A23CTGXNDDW5LC	
Are there any items that my camper does NOT need to bring 	I do not know if there are any items that your camper does not need to bring 	A14M2EERU7E8KD
Will it stain my swimsuit 	I do not know if it will stain your swimsuit 	A1JBSFXMMRGSQD
How do I add my spouse to my account 	I do not know you add your spouse to your account 	A325WS381BHOHH	
I have received an email that claims to be from an office of the Irish Naturalisation & Immigration Service or the Irish Department of Foreign Affairs . I have concerns that it may be visa scam . Is it genuine 	I do not know if that email from the office of the Irish Naturalisation & Immigration Service or the Irish Department of Foreign Affairs is genuine 	A3RO0QIXW4IX3Y
When am I due for my next phone upgrade 	I do not know when you are due for your next phone upgrade 	A1YKWG46AWMPUX	
How do we take MAX to the zoo 	I do not know how you take MAX to the zoo 	A1J0GU26323WVA
Do you charge any extra for direct deposits 	I do not know if we charge extra for direct deposits 	A2K9PB0U45O0MU
Will there be other colors available in the future 	I do not know what colors are available	A3V8B2A5O5KIVZ	
Did Santa 's Wonderland close the Drive-Through 	I do not know if it closed the drive-through 	A2NI2HSU84PHJW
What 's next for Congress.gov 	I do not know what is next for Congress.gov	APF1EAZT104LQ
Does Zoo New England donate tickets for charitable causes 	I do not know if Zoo New England donates tickets for charitable causes 	A1S8DYWNS59XWB
Is there a big different in shipping time between the USPS and UPS 	I do not know difference in shipping time between the USPS and UPS 	AJNQ2PBD07FKE
But I 'm going during the summer 	I do not know if you are going during the summer 	A9LX66EQWDRQ5
What are the phone hours 	I do not know what the phone hours are 	A13GUTDMGGZZDL
How do I know the car is in the condition stated 	I do not know how you know the car is in the condition stated 	A1JBSFXMMRGSQD
What is a publicly available , viewable , and bookable rate 	I do not know of a publicly available , viewable , and bookable rate 	A9LX66EQWDRQ5
There are people who say that visiting a country such as North Korea is wrong and that all we are doing is supporting the government - is this true 	I do not know if visiting a country such as North Korea is wrong and that all we are doing is supporting the government 	A3U0VQ420HIMQ0
I 've changed my maiden name and would like my account to reflect that 	I am not able to make your account reflect that change 	A185P3B2MC2K83
What ports did USS Constitution visit during her National Cruise from 1931 to 1934 	I do not know what ports the USS Constitution visited during her National Cruise from 1931 to 1934 	A3I9FTHSULHPYS
Can you suspend my account until I get done dealing with an identity theft issue 	I do not know if we can suspend your account until you are done dealing with the identity theft issue 	A31A4YKVSOYRVS	
Did my parcel go out yet 	I do not know if your parcel went out yet 	A9LX66EQWDRQ5	
Can I get a discount for buying in bulk with your company 	I do not know if you can get a dscount for buying in bulk 	AD9O852KPYLHY	
Do you accept personal checks at the Zoo 	I do not know if we accept personal checks at the zoo 	AFS36YMNN8A2J
What products do you sell for children 	I do not know what products we sell for children	A23CTGXNDDW5LC
Does united.com charge any booking fees or service fees to make a reservation 	I do not know if united.com charges a booking fee or service fees to make a reservation	A1CMT9MVUO52VP
How does the guest/caregiver benefit work 	I do not know how the guest/caregiver benefit works 	AZLZA0Q87TJZO
What types of classes do you offer 	I do not know the types of classes we offer 	A325WS381BHOHH
What should a provider be aware of when updating or reviewing contracts for the HIPAA Electronic Funds Transfer -LRB- EFT -RRB- transaction 	I do not know what a provider should be aware of when updating or reviewing contracts for the HIPAA Electronic Funds Transfer -LRB- EFT -RRB- transaction 	APC99TPURUHR8
How long is the review process , after the first review posting is listed 	I do not know how long the review process is 	A2NI2HSU84PHJW
What are your new services that I can take advantage of 	I do not know what our new services are that you can take advantage of 	A1JBSFXMMRGSQD
Do I need a parking permit to park free as a member	I do not know if you need a parking permit 	A3VSBRD9GN89I2
Does your company do a monthly newsletter 	I do not know if my company does a monthly newsletter	A23CTGXNDDW5LC
What expenses must be reimbursed 	I do not know what expenses must be reimbursed 	A16VTK6KZ1U69H
Where can I mail my payment 	I do not know where you can mail your payment to 	A31A4YKVSOYRVS	
Can my relatives or friends who do not live in my household be included on my membership card 	I do not know if your relatives or friends who do not live in your household can be included on your membership card 	A21EPR8KW0GWX2
Do you sell smart lights 	I do not know if we sell smart lights 	AE9M4Z1NCYSDM	
Who is our dental insurance carrier 	I do not know who is your dental insurance carrier 	A3CL6GEDFNQGQY
Where can I find information about training and museum studies 	I do not know where you can find information about training and museum studies 	A3I9FTHSULHPYS
Can I please cancel my order before it ships 	I am not able to cancel your order before it ships	A224I9B6RFJZEI	
Are wheelchairs and strollers available 	I do not know if wheelchairs and strollers are available 	A36EXF1KC09IER
Have other customers complained about the quality of this product 	I do not know if other customers have coplained about the quality of this product 	A1CQPRZUT6BW44
Is there a place to change 	I do not know if there is a place to change	ATQD23E8ESFSI
How do I know if my device is compatible with the My Verizon app 	I do not know if your device is compatible 	A2866TYG0D96LM
If an overdraft charge was caused by a fraudulent charge , can it be reversed 	I do not know if an overdraft charge caused by a fraudulent charge can be reversed 	A325WS381BHOHH	
Does the Federal Reserve own or hold gold 	I do not know if the Federal Reserve owns or holds gold 	A2K9PB0U45O0MU
Can I cover my domestic partner and his/her child or children 	I do not know if you can cover your domestic partner and his/her child or childern 	A3I9FTHSULHPYS
What is your return policy 	I do not know what the return policy is 	AD9O852KPYLHY	
Please cancel my order , if it is possible 	I am not able to cancel your order	A23CTGXNDDW5LC
What support can I get if I have a problem or any other question 	I am not able to tell you what support you can get if you have a problem or other question 	A2UBEPT605E8T2
Email the online store and we can assist you in finalising your order 	I am not able to email the online store 	A20WRVVT7WQFT7
Can the museum be observed by the organizer of a tour in advance 	I do not know if the measure can be observed in advance 	A2NI2HSU84PHJW
Is there a shop at the Museum 	I do not know if there is a shop at the Museum 	A3I9FTHSULHPYS
Can I drop my child off at the museum 	I do not know if you can drop your child off at the museum 	A3I9FTHSULHPYS
Why was I charged twice for the same item 	I do not know why you were charged twice for the same item 	A3GNQDFPZALU92	
How do I find information on the new HR Website 	I am not able to tell you how to find information on the new HR Website	A355BVFIOODRH2
What action should an employer take if an overpaid employee refuses to consent to the employer 's request to seek a refund of the overpaid FICA taxes 	I do not know which action should be taken if an overpaid employee refuses the request to seek a refund on FICA taxes that were overpaid 	APF1EAZT104LQ
What is the best way to store my Matcha 	I do not know the best way to store matcha 	A2NI2HSU84PHJW
Why is my payment being declined	I do not know why your payment was declined 	A1HQRT1UG6ERGL
I ordered my product last week , can you please tell me why I have not received it yet 	I do not know why you have not received it yet 	A1CQPRZUT6BW44
What is a passport submission appointment and why is it necessary 	I do not know what a passport submission appointment is , or why it is necessary 	A2NI2HSU84PHJW
How long is my application kept on file 	I do not know how long your application is kept on file 	A9LX66EQWDRQ5
How much up-keep is involved with keeping this product running smoothly 	I do not know how much up-keep is involved in keeping this product running smoothly 	A3U6CLX7HD0SMF	
What are the benefits of Family Membership 	I do not know what are the benefits of Family Membership 	A3SS1F4F3JE7CU
How much does the Artmobile cost 	I do not know how much the Artmobile costs 	A3G2FBKYCRD5Q8
Why do adults need to pay admission at a children 's museum 	I do not know why adults need to pay admission at a children 's museum 	A3U6CLX7HD0SMF
Are ATM 's available 	I do not know if any ATM 's are available 	A3SQIRU1XI54BR
Are all of the museum 's aircraft and exhibits featured on your website 	I do not know if all of the museum 's aircraft and exhibits are featured on our website 	A116N2LEI6O7HB
What information will be on the IDNYC card 	I do not know what information will be on the IDNYC card	A23CTGXNDDW5LC
Can I make repairs to my lease vehicle so I do n't incur wear and use charges 	I do not know if you can make repairs to your lease vehicle 	A13GUTDMGGZZDL
What data do I have access to 	I do not know what data you have access to 	A9LX66EQWDRQ5
If , due to a disability , I am unable to travel to an IDNYC enrollment center , how can I apply for my IDNYC card 	I do not know how you would apply for an IDNYC card in case of a disability 	A16NITTBMCSN0V
Can I bring alcoholic beverages to the Getty Center 	I do not know if you can bring alcoholic beverages to the Getty Center 	A1XNCA1SVTT15B
What form of payment will you accept 	I do not know what form of payment we will accept 	AE9M4Z1NCYSDM	
Do you know if you 're currently hiring 	I do not know if we are currently hiring 	AMW07CJC3OJIB
Who is the President of Pacific 	I do not know who the President of Pacific is 	APC99TPURUHR8
How long will she nurse 	I do not know how long she will nurse 	A7SXWHGK8B40R
Where are your webcams 	I do not know where our webcams are 	A13GUTDMGGZZDL
When can I start using the membership 	I do not know when you can start using the membership 	A3U0VQ420HIMQ0
How can students pay their application fee at a later date 	I do not know how students can pay their application fee at a later date	A1GNG0J27JYSUB
Why is a safe and functional courthouse important 	I do not know why a safe and functional courthouse is important 	A1AVKKVWWFUGLT
What if I have a problem with my spot or positioning 	I am not able to help you with spot or positioning problems 	A1NF93LWL8ABHH
How do I make corrections to prior time sheets 	I do not know how you make corrections to prior time sheets 	A1X3SF2W1QQBY1
Can I take photos in the museum 	I do not know if you can take photos in the museum 	A116N2LEI6O7HB
I am the PD/PI on an NIH grant , but I am not the responsible party for the clinical trial that the grant supports . If the trial is not in compliance with FDAAA or in adherence with the NIH Policy on the Dissemination of NIH-Funded Clinical Trial Information , may I register or submit results of the trial in ClinicalTrials.gov 	I do not know if you may register or submit results of the trail in ClinicalTrials.gov 	A7SXWHGK8B40R
How long before my session times out 	I do not know how long before your session times out 	A9LX66EQWDRQ5
What time is my appointment 	I do not know what time your appointment is 	A3LNWUYXJH1EUC
Is this an NFL licensed jacket	I do not know if this is an NFL licensed jacket 	A3SSJNH5SIZUPG	
What do the campers do all day 	I do not know what the campers do all day 	A3RD486RQUI2XV
Can you tell me where the product was made 	I do not know where the product was made 	AE9M4Z1NCYSDM	
How do I calculate dimensional weight 	I do not know how you calculate dimensional weight 	AJ7E01X4TAGHL
What is the difference between an add-on and a re-buy 	I do not know what is the difference between an add-on and a re-buy 	A1IMICF9ISISZN
What is your return policy 	I do not know what our return policy is 	A8F4B0854KTXO	
How does TurboTax know which questions to ask 	I do not know how Turbo Tax know which questions to ask 	A3RD486RQUI2XV
What fees are there besides the purchase price 	I do not know what fees there are besides the purchase price 	A3I9FTHSULHPYS
Will I be able to exit the venue and return during the concert or event	I do not know if you will be able to exit the venue and return during the concert or event 	A3SS1F4F3JE7CU
What if we ca n't afford to pay admission 	I do not know what you should do if you ca n't afford to pay admission 	A13GUTDMGGZZDL
I need to delay my subscription 	I am not able to delay your subscription	APF1EAZT104LQ
How can I apply for copyright permission to use material from a Museum publication 	I do not know how you can apply for copyright permission 	A3B2YRXL26RPVH
What size companies do you typical work with and is a company ever too small or too large for you to support 	I do not know what size companies we work with or if a company is too small or too large for us to support 	A2K9PB0U45O0MU
How much does TurboTax Online cost 	I do not know how much TurboTax Online costs 	AFS36YMNN8A2J
May I bring my dog 	I do not know if you may bring your dog 	AZLZA0Q87TJZO
Can my child attend Camp with a friend 	I do not know if you child can attend Camp with a friend 	APC99TPURUHR8
Can I copy and paste information into my Grants.gov application from a Microsoft Word document 	I do not know if you can copy and past information in your Grants.gov application 	A325WS381BHOHH
My order is late , please check on it 	I am not able to check on your order 	A9LX66EQWDRQ5	
What are some ' little known treasures ' on campus 	I do not know any ' little known treasures ' on campus 	A2K9PB0U45O0MU
Do you offer digital gift cards that I can email to someone 	I do not know if we offer digital gift cards that you can email to someone	A23CTGXNDDW5LC	
Wuksachi Lodge - No Elevators	I do not know if Wuksachi Lodge has no elevators 	APC99TPURUHR8
Do you offer any Zumba classes in the evenings 	I do not know if we offer any Zumba classes in the evenings 	A2EAJXBORHT44T	
when is the best time to visit this city 	I do not know when the best time to visit the city is 	A31A4YKVSOYRVS	
When may I visit and how long may I stay 	I do not know when you may visit or how long you may stay 	A2K2MFQMN31DZ
What is the University 's Employer Registered Number 	I do not know what the University 's Employer Registered Number is 	A2EJ7U3TZAKROG
Does Zoo College provide me with standard college or university credits toward my degree 	I do not know if Zoo College provides standard college or university credits toward your degree 	A2NI2HSU84PHJW
Please tell me the best way I can go about making a claim or a dispute for this product 	I am not able to tell you the best way you can go about making a claim or a dispute for this product 	A325WS381BHOHH	
What are the different plans you offer for the subscription 	I do not know all the plans that are offered with the subscription 	AEXWOFM1LGS6U
Can I place an order online and then go to a local store location to get it	I do not know if you can place an order online and then go to a local store location to get it	A23CTGXNDDW5LC
Does Mandalay Bay offer AARP , AAA or Government rates 	I do not know if Mandalay Bay offers AARP , AAA or Government rates 	A5VBIZ2KIQ1R8
Can DynamoDB be used by applications running on any operating system 	I do not know if DynamoDB can be used by applications running on any operating system 	A13GUTDMGGZZDL
What type of atmosphere does your studio have 	I do not know what type of atmosphere the studio has 	A10249252O9I20MRSOBVF
Do I have to file a FAFSA 	I do not know if you have to file a FAFSA 	A1S8DYWNS59XWB
Is the loss on the sale of my home deductible 	I do not know if the loss on the sale of your home is deductible 	A2NI2HSU84PHJW
Can we take lessons every other week instead of every week 	I do not know if you can take lessons every other week 	A2NI2HSU84PHJW
Is smoking marijuana permitted at your property 	I am not able to tell you if smoking marijuana is permitted 	A2UBEPT605E8T2
What if a collection does fall under the ZLA but might be eligible for a dispensation 	I do not know what happens if a collection falls under the ZLA but might be eligible for a dispensation 	AZLZA0Q87TJZO
Can I look up my gift card balance online 	I do not know if you can look up your gift card balance online 	A16VTK6KZ1U69H
What sorts of loyalty programs do you offer 	I am not able to explain what loyalty programs we offer 	AE9M4Z1NCYSDM	
My service was supposed to start yesterday and it 's still not working , help 	I am not able to help you with your service 	A325WS381BHOHH	
Can I arrange to have materials waiting for me when I get there 	I do not know if you can arrange to have materials wating for you 	A13GUTDMGGZZDL
Do you offer payment plans for re-activation 	I do not know if we offer payment plans for re-activation 	AMW07CJC3OJIB
I have never purchased online tickets from BAMPFA , but when I enter my email address it says I already have an account . What is going on 	I do not know what is going on	A23CTGXNDDW5LC
Are all Brooklyn Museum exhibitions appropriate for children to view 	I do not know if all Brooklyn Museum exhibitions are appropriate for children 	A2NI2HSU84PHJW
Are there safety restrictions 	I do not know if there are safety restrictions 	APC99TPURUHR8
What does my general admission ticket include 	I do not know what my general admission ticket includes 	A1JBSFXMMRGSQD
Do we have to have a formal referral to get an assessment	I do not know if you need to have a formal referral to get an assessment 	A298FAWY76NZA9
What steps can an employer take to reduce the risk of exposure of the Zika virus in the workplace 	I do not know what steps an employer can take to reduce risks 	A325WS381BHOHH
How big should my tree be 	I do not know how big your tree should be 	AF8KEA2127EAN
Can I personally deliver the donation to the museum 	I do not know if you can personally deliver the donation to the museum 	A7SXWHGK8B40R
When does the East Bay Plaza stream open 	I do not know when the East Bay Plaza stream opens 	A3I9FTHSULHPYS
What are the laws on paid and unpaid breaks 	I do not know what the laws are on paid and unpaid breaks 	AZLZA0Q87TJZO
Why ca n't I access my account 	I do not know why you ca n't access your account 	A31A4YKVSOYRVS	
What should I wear for class 	I do not know what you should wear for class 	A2HKTM4Z8652
I 've created media using the media creation tool , now what do I do 	I am not able to tell you what to do now 	A3CL6GEDFNQGQY
Has the price dropped recently 	I do not know if the price dropped recently 	A3VV5FFG6GXE1S	
Do you have an annual recital 	I do not know is there is an annual recital 	A16NITTBMCSN0V
Do school children need to be accompanied 	I do not know if school children need to be accompanied 	A13GUTDMGGZZDL
Are your animals healthy & clean 	I do not know if our animals are healthy and clean 	A2NI2HSU84PHJW
What are the ZOOfriends membership office hours 	I am not able to tell you the office hours of ZOOfriends	APF1EAZT104LQ
How much do I pay for my benefits 	I do not know how much you pay for your benefits 	A2TP3K1THK6XRB
I need to know how much in total I paid in 2016 	I do not know how much you paid in 2016 	AD9O852KPYLHY	
What is SMoCA 	I do not know what SMoCA is 	A2K9PB0U45O0MU
How often do you restock supplies 	I do not know how often we restock supplies 	AD9O852KPYLHY	
What determines my eligibility for a job 	I do not know what determines your eligibility for a job 	A2K9PB0U45O0MU
Can I take photographs in the galleries -LRB- camera , digital camera , video camera , etc. -RRB- 	I do not know if you can take photographs in the galleries 	A3UJE4WA5XADZS
I like to plan ahead . Can I purchase tickets before I get there 	I do not know if you can purchase tickets before you get there 	A5VBIZ2KIQ1R8
Are strollers allowed in the Museum 	I do not know if strollers are allowed in the museum 	A2VIKCIM9TZL22
I ordered an item but now I received an email saying the item is out of stock 	I do not know why you received an email saying the item is out of stock	AYJGJAIY0EXW
WHAT ARE THE STADIUM TOURS & MUSEUM OPENING HOURS	I do not know what the opening hours are 	A3722NOMVUK89T
When is it considered too late to cancel my request 	I do not know when it is considered too late to cancel your request 	A3U6CLX7HD0SMF	
When an employer hires a remote employee , how should the employer complete the Form I-9 	I am not able to tell you how an employer should complete the Form I-9 when they hire a remote employee 	A116N2LEI6O7HB
How do I approve a new requisition 	I do not know how you approve a new requisition 	A2HKTM4Z8652
How can an employer ensure that job applicants see its general notice of the Family and Medical Leave Act -LRB- FMLA -RRB- 	I do not know how an employer can ensure that job applicants see its general notice of the Family and Medical Leave Act -LRB- FMLA -RRB- 	A2HKTM4Z8652
Do you mind if I eat a competitors product in your store as long as I buy some of your product too so I can compare them 	I do not know if you can eat a competitor 's product in our store as long as you buy some of our product too to compare them 	A3B1H161LQLAYP	
Can I get notified when an item is back in stock 	I am not able to determine if you can be notified when an item is back in stock 	AJQGWGESKQT4Y
How do I change the taxes withheld from my UC pension 	I do not know how you can change the withholding amount from your UC pension 	A18RMWE4BKHG6R
Can I request next day shipping 	I do not know if you can request next day shipping 	A9LX66EQWDRQ5	
How do I search for current openings at Dell 	I do not know how you search for current openings at Dell 	A1IMICF9ISISZN
If there is an exhibition held at the museum , is it included in the admission 	I do not know if it is included in the admission 	A7SXWHGK8B40R
Is there a cost to join the Choice Privileges program 	I do not know if there is a cost to join the Choice Privileges program 	A1JBSFXMMRGSQD
As the owner of a business , am I required to complete Form I-9 , Employment Eligibility Verification 	I do not know if you are required to complete Form I-9 , Employment Eligibility Verification 	A2EJ7U3TZAKROG
What meals are included with the hotel rate 	I do not know what meals are included with the hotel rate 	A31A4YKVSOYRVS	
I 'd like to check for a part number 	I am not able to check for a part number	A23CTGXNDDW5LC
Can I take pictures or video inside the Uffizi Gallery 	I do not know if you can take pictures or video inside of the Uffizi Gallery 	A234VIHHUHPZG5
What are the Law Enforcement Support team 's hours of operation 	I do not know the Law Enforcement Support team 's hours of operation 	A2VFX3J4B1I22X
What should I wear for a dance class 	I do not know what you should wear for a dance class 	APC99TPURUHR8
Does Kern County offer preference to veterans 	I do not know if Kern County offers preference to veterans 	APC99TPURUHR8
When is the next generation of your phone coming out 	I do not know when the next generation of our phone is coming out 	AD9O852KPYLHY	
When will I hear from Volunteer Services about my application 	I do not know when you will hear about your application 	A13GUTDMGGZZDL
How do I report the sale of my second residence 	I do not know how you can report the sale of your second residence 	A8O98QNRG9SHV
How do I apply for TSA Pre ✓ ® 	I do not know how you apply 	A13GUTDMGGZZDL
Can I take pictures or videos in the Museum	I do not know if you can take pictures or videos in the museum	ABWW1P7GZ4C0Z
What is my order history 	I do not know what your order history is 	A31A4YKVSOYRVS	
What is included in the tour 	I do not know what is included in the tour 	A1JBSFXMMRGSQD
What 's the balance on my account	I do not know the balance on your account 	A1YKWG46AWMPUX	
Is there anything we should be aware of if visiting the museums in a large group -LRB- 10 or more people -RRB- 	I do not know if there is anything you should be aware of when visiting the museums in a large group of 10 or more people 	A1JBSFXMMRGSQD
I have a collection of artwork which I am interested in selling / donating to the museum , who do I get in touch with 	I do not know who you get in touch with if you are interested in selling/donating your collection of artwork to the museum 	A16VTK6KZ1U69H
I reserved a flight by phone , but can I pay for it online with a credit card 	I do not know if you can pay online with a credit card for you flight you reserved by phone 	A2UBEPT605E8T2
I opened the package and they were spoiled - will you send a refund or coupon 	I am not able to send a refund or coupon 	AJKA9BKC011F2
Are Your products RoHS -LRB- restriction of HAZARDOUS SUSTANCES -RRB- compliant	I am not able to tell you if our products are Restriction of Hazardous Substances compliant 	AT7ADQKXKXEWY
How often should I come in for my lessons	I do not know how often you should come in 	A13GUTDMGGZZDL
Prior to administrative penalties , what enforcement actions were available to CDPH to use against hospitals out of compliance with the law 	I do not know prior to administrative penalties what enforcement actions were available to CDPH to use against hospitals out of compliance with the law 	A3G2FBKYCRD5Q8
How do I evict a tenant 	I do not know how to evict a tenant 	ANMD34DNHLOLC
How do I reset the password if I do n't have access to the original email address 	I do not know how to reset the passwork if you do n't have access to the original email address 	A325WS381BHOHH	
When I am automatically upgraded , how do you assign my seat 	I do not know how we assign your seat when you are automatically upgraded 	AZLZA0Q87TJZO
Who do I contact regarding questions 	I do not know who you contact regarding questions	A1GNG0J27JYSUB
If a department wants a wall clock who will pay for it and what is the process of ordering on 	I do not know what the process of ordering a wall clock is or who will pay for it if a department wants one 	A2HKTM4Z8652
How much is actually being donated 	I do not know how much is actually being donated 	A3MZE4FJ658B79
What options are available to lower my interest rate 	I do not know any options to lower your interest rate 	A3LNWUYXJH1EUC
I need to make sure you have my correct mailing address 	I do not know if we have your correct mailing address	A23CTGXNDDW5LC	
What is the FOMC and when does it meet 	I do not know that the FOMC is or when it meets 	A116N2LEI6O7HB
Where are the dinosaurs 	I do not know where the dinosaurs are 	A7SXWHGK8B40R
Do you have locker rooms and showers 	I do not know if we have locker rooms or showers 	A2K9PB0U45O0MU
Where can I get a newsletter for your products 	I do not know where you can get a newsletter for our products 	A3RD486RQUI2XV
How do I schedule a training program for my department 	I do not know how you schedule a training program for your department 	A1JBSFXMMRGSQD
How can I subscribe to newer packages that are offered 	I do not know how you can subscribe to newer packages that are offered 	A3RD486RQUI2XV
Are you open every day 	I do not know if we are open every day	A3NHJPE6326P9V
How do shellfish establish themselves on the sea bottom 	I do not know how shellfish establish themselves on the sea bottom 	A3G2FBKYCRD5Q8
How is check - in or registration handled for the competition 	I do not know how check-in or registration is handled for the competition 	A10249252O9I20MRSOBVF
When will the new version be out 	I do not know when the new version will be out 	A31A4YKVSOYRVS	
Do you off this item in different colors 	I do not know if this item is offered in different colors 	A3U6CLX7HD0SMF	
What are some key aspects of an active shooter drill 	I do not know key aspects of an active shooter drill 	A1JBSFXMMRGSQD
I will still get service even if I live way up north 	I do not know if you will get service if you live way up north 	A31A4YKVSOYRVS	
Ordering articles with Blue Credits	I do not know if you can order articles with blue credits	APF1EAZT104LQ
My visa has been refused and I am waiting on a refund from the university/college . Can the INIS help 	I do not know if the INIS can help if your visa has been refused and you are waiting on a refund from the university/college 	A16VTK6KZ1U69H
Could you please check the status of my order 	I am not able to check the status of your order 	A3SSJNH5SIZUPG	
Do you have the number of the shipper 	I do not know the number of the shipper 	A325WS381BHOHH	
I need to change my address , because I moved recently 	I am not able to change your address 	A31A4YKVSOYRVS	
If I 'm classified , can I remain classified 	I do not know if if you can remain classified if you 're classified 	A3I9FTHSULHPYS
Are there yearly salary increases 	I do not know if there are yearly salary increases 	A16VTK6KZ1U69H
Why Do Cats Knead 	I do not know why cats knead 	A5VBIZ2KIQ1R8
Can I talk to someone about cancelling or suspending my service 	I am not able to get someone for you to talk to about cancelling or suspending your service 	A31A4YKVSOYRVS	
Can I transfer my assets to avoid the Estate Recovery Program 	I do not know if you can transfer your assets to avoid the Estate Recovery Program 	A1JBSFXMMRGSQD
Could I get a list of houses sold by your firm in the last year 	I am not able to get you a list of houses sold by our firm in the last year 	A3VV5FFG6GXE1S	
How do I go about sponsoring the museum and what do I receive in return	I do not know how you go about sponsoring the museum or what you receive in return 	A2K9PB0U45O0MU
Where does the museum receive its Financial Support	I do not know where the museum receives is financial support from 	A2K9PB0U45O0MU
An employee on a performance improvement PLAN -LRB- PIP -RRB- has not improved , what can I do	I do not know what you can do is an employee on a performance plan -LRB- PIP -RRB- has not improved 	ATQD23E8ESFSI
I hold a temporary long-stay visa ' with residence permit exemption ' . Am I allowed to travel in the Schengen Area 	I do not know if you are allowed to travel in the Schengen are if you hold a temporary long-stay visa ' with residence permit exemption . '	A2K9PB0U45O0MU
What Will Happen When I am Discharged 	I do not know what will happen when you are discharged 	A1JBSFXMMRGSQD
Where do I submit my student organization 	I do not know where to submit your student registration 	A20WRVVT7WQFT7
How fast is AT&T High Speed Internet 	I do not know How fast is AT&T High Speed Internet	A3NHJPE6326P9V
How can I request a seat with extra legroom 	I do not know how you can request a seat with extra legroom 	AZLZA0Q87TJZO
Please cancel my order if it has not shipped yet 	I am not able to cancel your order 	A31A4YKVSOYRVS	
Can a hospital receive both Medicare and Medicaid EHR incentive payments 	I do not know if a hospital can receive both Medicare and Medicaid EHR incentive payments 	A3RD486RQUI2XV
Are the skeletons made of real bones 	I do not know if skeletons are made of real bones 	A1IPD4WBT3A5GG
Why should I book through the partners selected by Uffizi.org 	I do not know why you should book through the partners selected by Uffizi.org 	A235UQRA8GE18X
I work in the evenings . May I leave early 	I am not able to tell you if you may leave early when you work in the evenings 	A1JBSFXMMRGSQD
How can I book a tour 	I do not know how you can book a tour 	A16VTK6KZ1U69H
How often am I charged as a subscriber	I do not know how often you are charged as a subscriber	A23CTGXNDDW5LC
How many vehicles are on display 	I do not know how many vehicles are on display 	A2HKTM4Z8652
What is the smoking policy at the Zoo 	I do not know the smoking policy at the zoo	A16184N1RO5OJV
Do members qualify for free standard shipping 	I do not know if members qualify for free standard shipping 	A3RD486RQUI2XV
Do I need to check in when visiting the museum 	I do not know if you need to check in 	A13GUTDMGGZZDL
Can my friends / family come and watch 	I do not know if your friends or family can come and watch 	A13GUTDMGGZZDL
How many membership cards will I receive 	I do not know how many membership cards you will receive 	A116N2LEI6O7HB
Do training courses need to by certified by the Right to Know Advisory Committee 	I do not know if training courses need to be certified by the Right to Know Advisory Committee 	A1J0GU26323WVA
What is the latest date I can pay my bill and avoid a late fee 	I do not know the latest date you can pay your bill to avoid a late fee 	A260AFDCSXBQOH
Are there any restaurants close to the Museum 	I do not know if there are any restaurants close to the Museum 	A116N2LEI6O7HB
On what date are you offering the new model for sale to the public 	I am not able to tell you what date we are offering the new model for sale to the public 	AE9M4Z1NCYSDM	
Once I 've passed my road test , how do I get my license 	I do not know what you should do to get your license 	A13GUTDMGGZZDL
How do I arrange for a group visit or tour of the AD&A Museum 	I do not know how to arrange for a group visit or tour of the AD&A Museum 	A2K9PB0U45O0MU
Duration of a visit	I do not know the duration of a visit 	APC99TPURUHR8
What is Multi-factor authentication 	I do not know what Multi-factor authentication is 	A2K9PB0U45O0MU
How does Bucket Filling fit in with other character development programs 	I do not know how Bucket Filling fits in with other character development programs 	A1JBSFXMMRGSQD
What 's the name of your supplier 	I am not able to tell you the name of our supplier	AYJGJAIY0EXW
What additional features do i get for upgrading my plan 	I do not know what additional features you get for upgrading your plan 	A3GNQDFPZALU92	
Do you have proof of insurance and wildlife permits 	I do not know if we have proof of insurance and wildlife permits 	A3RD486RQUI2XV
Do I need to get any vaccinations before going to England 	I do not know if you need to get any vaccinations before going to England 	A7SXWHGK8B40R
