It says it was delivered but nothing has arrived yet . Where is it 	I do not know where it is 	A1YKWG46AWMPUX	
How often can I change my 403 -LRB- b -RRB- Supplemental contribution percentage 	I do not know how often you can change your 403 -LRB- b -RRB- Supplemental contribution percentage 	A2HKTM4Z8652
I have more than four children . Which membership level should I purchase 	I do not know what membership level you should purchase 	A2NI2HSU84PHJW
Can someone else pay for my stay 	I do not know if someone else can pay for your stay 	A1JBSFXMMRGSQD
What days are you open 	I do not know what days we are open 	AZLZA0Q87TJZO
Can I Apply For A Position Anytime I Wish 	I do not know if you can apply for a position any time you wish 	APC99TPURUHR8
How organic are the foods you sell/distribute 	I do not know if the fruits are organic 	A3722NOMVUK89T	
Will I receive ID cards for my health insurance plans ; if so , when 	I do not know if if you will receive ID cards for your health insurance plans 	A3I9FTHSULHPYS
What makes it a right whale 	I do not know why the animal is called a right whale 	A16NITTBMCSN0V
My battery pack does not last very long between charges . I am charging the handset more frequently . What should I do 	I do not know what you should do 	A7SXWHGK8B40R
What are the matinee show times 	I do not know what the matinee show times are 	AZLZA0Q87TJZO
Can I Talk With my Regular Doctor 	I do not know if you can talk with your regular doctor 	A11TABPKSVOOFT
How long do i have before I can edit/cancel my order 	I do not know how long you have before you can edit/cancel your order 	AE9M4Z1NCYSDM	
What size shirt did I order	I do not know what size shirt you ordered 	A3GNQDFPZALU92	
What 's bad in belVita Breakfast Biscuits , Golden Oat 	I do not know what is bad in belVita Breakfast Biscuits 	A2LQ9NP944M61Z
Do you have any new products coming out next month 	I do not know if we have any new products coming out next month 	A3U6CLX7HD0SMF	
What Will Happen When I am Discharged 	I do not know what will happen when you are discharged 	A1JBSFXMMRGSQD
How is my medical information protected 	I do not know how your medical information is protected 	A3G2FBKYCRD5Q8
How much will it cost to ship overseas 	I do not know how much it will cost to ship overseas 	AE9M4Z1NCYSDM	
How do I go about returning an order 	I am not able to return an order 	A185P3B2MC2K83
Do you all have free shipping 	I do not know if we have free shipping 	A31A4YKVSOYRVS	
How can I apply to French universities 	I do not know how you can apply to French universities 	A11IEP7J8XSE1C
Does my account allow for using my phone as a Wi-Fi hotspot 	I do not know if your account allowed for wi-fi hotspot 	AJNQ2PBD07FKE
My visa application has been refused . Why ca n't I get my money back 	I do not know you ca n't get your money back 	A2LQ9NP944M61Z
What do whales eat 	I do not know what whales eat 	A1J0GU26323WVA
What about restroom facilities 	I do not know about restroom facilities 	A2LQ9NP944M61Z
Where and how do I get my child 's recital costume and what will it cost 	I do not know where and how you get your child 's recital costume and I do not know what it will cost 	A11IEP7J8XSE1C
What meals are included with the hotel rate 	I do not know what meals are included with the hotel rate 	A31A4YKVSOYRVS	
Can I pay directly through my bank account 	I do not know if you can pay directly through your bank account 	A325WS381BHOHH	
When will existing customers have their prices raised 	I do not know when existing customer will have their prices raised 	A3SZ3W7V3GUN8Z
Can I plan an educational visit for my school class or home school group 	I do not know if you can plan an educational visit for your school class or home school group	A23CTGXNDDW5LC
How does your product differ from your competitors 	I do not know how our product differs from our competitors 	A8F4B0854KTXO	
Do you have wheelchairs , strollers or wagons for rent 	I do not know if we have wheelchairs , strollers or wagons for rent 	A3SS1F4F3JE7CU
When 's the next time you 'll have this sale /	I am not able to tell you the next time I will have this sale 	A3RD486RQUI2XV
Can registration and results information be uploaded electronically to ClinicalTrials.gov 	I do not know if registration and results information can be uploaded electronically to ClinicalTrials.gov 	A3R71HP45TBQ7O
I need to speak to whoever is in charge 	I am not able to have you speak to whoever is in charge 	ASFR82SJYMGNU
Is there a time for the general public to enter the Museum for free 	I do not know if there is a time for the general public to enter the museum for free 	A9LX66EQWDRQ5
What is the Observation -LRB- formerly Short Stay -RRB- Unit 	I do not know what the Observation -LRB- formerly Short Stay -RRB- Unit is 	A2TP3K1THK6XRB
Must I print out my booking reservation 	I do not know if you must print out your booking reservation 	A2HKTM4Z8652
How big does a company have to be to use a PEO 	I do not know how big a company has to be to use a PEO 	A2NI2HSU84PHJW
I accidentally told the order to come to my home address but I 'll be with family when it 's set to arrive , can I change where it 's going 	I am not able to change where it 's going 	A1YKWG46AWMPUX	
Can I transfer my case to the Daley Center if the other party filed the case in suburban court 	I do not know if your case can be transferred to the Daley Center if it was filed in suburban court 	A234VIHHUHPZG5
I need to change my insurance coverage , would you be able to run a quote for me please 	I am not able to run a quote 	3D17ECOUOENLSG5ZVSR6Z6UO6U531O
Is food and drink available in the Members ' Room 	I do not know if food and drink is available in the Members ' Room 	A2VIKCIM9TZL22
How many species of cetaceans in US waters are protected under the Endangered Species Act 	I do not know how many species are protected 	A13GUTDMGGZZDL
Can I Receive a Rate and Availability Quote , or Make a Change to an Existing Reservation via E-Mail 	I do not know if you can receive a rate and availability quote or make a change to an existing reservation via e-mail 	A3G2FBKYCRD5Q8
May an employer ask a job applicant about lawful drug use 	I do not know if an employer may ask an applicant about lawful drug use 	A13JQTLPWXZD6L
Can I get the truck without a rear bumper 	I do not know if you can get the truck without a rear bumper 	A9LX66EQWDRQ5	
How many department heads make up the Cabinet 	I do not know how many department heads make up the Cabinet 	A16VTK6KZ1U69H
I received an error when I tried to check out with my credit card 	I do not know why you received an error when you tried to check out with your credit card 	ASFR82SJYMGNU
Where is the Chapel Hill camp happening in 2017 	I do not know where this is happening 	AOPI4DCPSO8H4
Can I buy movie tickets for future dates 	I do not know if you can buy movie tickets for future dates	A1GNG0J27JYSUB
How do names get selected to be summoned for jury duty 	I am not able to tell you how names get selected to be summoned for jury duty 	A1JBSFXMMRGSQD
What is the NEC 	I do not know what the NEC is 	AZLZA0Q87TJZO
Do you offer price matching 	I am not able to offer price matching 	A3RD486RQUI2XV
I think I might have had a stolen package , does your company offer any kind of refund in these cases 	I do not know if our company offers refunds	3D3B8GE892JAOADHX336RFF892L9PF
What are the top 10 things I absolutely have to see and do in England 	I do not know what the top 10 things are that you absolutely have to see and do in England 	A3G2FBKYCRD5Q8
Could you email me another copy of my order to my other email 	I am not able to email you another copy of your order to your other email 	A2EAJXBORHT44T	
How do I get to the Dakota Zoo 	I am not able to tell you how to get to the Dakota Zoo 	A116N2LEI6O7HB
What bus route services the Zoo 	I do not know which bus route services the Zoo 	A21EPR8KW0GWX2
Why am I occasionally seeing an XFINITY WiFi notifications 	I do not know why you are occasionally seeing an XFINITY WiFi notifications	A23CTGXNDDW5LC
What are the dates of Electric Zoo 2017 	I do not know what the date of Electric Zoo 2017 are 	A1J0GU26323WVA
WHERE IS MY ORDER CONFIRMATION	I do not know where your order confirmation is 	A1JBSFXMMRGSQD
Is the Certificate II in Animal Studies a TVET course 	I do not know if the Certificate II in Animal Studies is a TVET course 	A1R1J3GL0YP7DJ
Can you please help me reset my password	I am not able to help you reset your password 	A30YFEIPGXNWJL
I am interested in rental , party , or group information 	I am not able to give information about rental , party , or group information 	A1JBSFXMMRGSQD
If I buy a multi-year specialty license plate , how do I pay my vehicle registration fees 	I do not know how you can pay your vehicle registration fees 	A7SXWHGK8B40R
What do I do if I missed signing up for benefits as a new hire 	I do not know what you should do if you missed signing up for benefits 	A2L0QFWMJU0AXB
What do I do if my passport is lost or stolen while I am traveling abroad 	I do not know what to do if your passport is stolen or lost while traveling abroad 	A2LQ9NP944M61Z
Do you prefer Tarte or Benefit mascara 	I do not know whether I prefer Tarte or Benefit mascara 	A9LX66EQWDRQ5	
When will I be notified about my application 	I do not know when you will be notified about your application	A1CMT9MVUO52VP
How is federal recognition status conferred 	I do not know how federal recognition status is conferred 	A7SXWHGK8B40R
What 's the name of your supplier 	I am not able to tell you the name of our supplier	AYJGJAIY0EXW
Does Kern County offer preference to veterans 	I do not know if Kern County offers preference to veterans 	APC99TPURUHR8
Can I have the car inspected at a mechanic 	I do not know if you can have the car inspected at a mechanic 	A235UQRA8GE18X
The item was discounted a day after I purchased it and I would like a refund 	I am not able to give you a refund 	AD9O852KPYLHY	
What is an online account 	I do not know what an online account is	ATQD23E8ESFSI
Does the Museum have free days 	I do not know if the museum has free days 	A3U6CLX7HD0SMF
The coupon states that it can be used in conjunction with the birthday promotion , can you correct our bill 	I am not able to correct your bill	3VI0PC2ZAYCI46JELJW5IIW060FXO4
Can I change the size of my race singlet after completing my registration	I do not know how you can change the size of your race singlet after completing your registration 	A7SXWHGK8B40R
How are health plan identifiers -LRB- HPIDs -RRB- handled for wrap plans 	I do not know how health plan identifiers -LRB- HPIDs -RRB- are handled for wrap plans 	A2ZBJWQ9ZZHYYI
How are coupons and discounts handled 	I do not know how coupons and discounts are handled 	A2K9PB0U45O0MU
Can a registered domestic partner be a dependent of his or her partner for purposes of the exclusion in section 105 -LRB- b -RRB- for reimbursements of expenses for medical care 	I do not know if a registered domestic partner can be a depenedent of his or her partner for purposes of the exclusion in section 105 -LRB- b -RRB- for reimbursements of expenses for medical care 	A3MZE4FJ658B79
What TV packages are available 	I do not know what TV packages are available 	A3I9FTHSULHPYS
Do you offer free parking 	I do not know if we offer free parking 	A3RO0QIXW4IX3Y
Why was I charged sales tax on my order when I should be tax exempt 	I do not know why you were chared sales tax 	A2K2MFQMN31DZ
What kind of volunteers are you looking for 	I do not know what kind of volunteers we are looking for 	A3RD486RQUI2XV
I think I need a refund for my order as the product I purchased is n't working at all . What can be done about this 	I am not able to refund your order 	3IYI9285WSSG0XHMEA8DW9U46OICJZ
Will the annual salary be based on a 12 month equivalent 	I do not know if the annual salary will be based on a 12 month equivalent 	A1EG2OTSXUCY9X
Are there any other color options 	I do not know if there are any other color options	A23CTGXNDDW5LC
IS AIRFARE INCLUDED IN THE PACKAGE PRICING	I do not know if airfare is included in the package pricing 	A1X3SF2W1QQBY1
Where can I view my Choice Privileges statements 	I do not know where you can view your Choice Privileges statements 	A2VIKCIM9TZL22
What documentation is required by payroll office 	I do not know what documentation is required by payroll office 	A1S0R9UMW0FWAZ
Why am I occasionally seeing an XFINITY WiFi notification 	I do not know why you are occasionally seeing and XFINITY WIFI notification 	ARKAJ6PL85CME
When was the baby born 	I do not know when the baby was born 	A3R71HP45TBQ7O
Can I exchange an item I received as a gift 	I do not know if you can exchange an item you received as a gift 	AE9M4Z1NCYSDM	
When I arrive at the Zoo , where do I take my online tickets 	I do not know where you take your online tickets when you arrive at the Zoo 	A2HKTM4Z8652
Can we go on every gallery during our visit 	I do not know if you can go on every gallery during the visit 	A2NI2HSU84PHJW
May an employer discipline an employee with a gambling problem 	I do not know if an employer can discipline an employee who has a gambling problem 	A1J0GU26323WVA
Who do I talk to for questions regarding budget billing for my monthly phone bill 	I do not know who you talk to for questions regarding monthly phone budget billing 	A31A4YKVSOYRVS	
Is the zip line course safe for children 	I do not know if the zip line course is safe for children 	A1YKWG46AWMPUX	
What is the admission cost 	I do not know the admission cost 	A7SXWHGK8B40R
Who decides what hospital receives an administrative penalty 	I do not know who decides what hospital receives an administrative penalty 	A18RMWE4BKHG6R
Can I visit the Museum Store Without Paying Admission	I do not know if you can visit the museum store without paying admission 	AZLZA0Q87TJZO
Will you guys match your competitor 's price on this laptop 	I do not know if we can match our competitor 's price on the laptop 	ARCNENCVA0STW	
Can I volunteer at Deepwood 	I do not know if you can volunteer at Deepwood 	A1JBSFXMMRGSQD
Is it all possible to fulfill my request in a timely and reasonable fashion 	I do not know if it is all possible to fulfill your request in a timely and reasonable fashion	A23CTGXNDDW5LC	
How do I find my nearest store location	I do not know how you find your nearest store location	AYJGJAIY0EXW
How do I take advantage of the ' Invitation to VIP Behind-the-Scenes Tour ' or the ' Private Reception with Executive Director 	I do not know how you take advantage of the ' Invitation to VIP Behind-the-Scenes Tour ' or the ' Private Reception with Executive Director 	A3I9FTHSULHPYS
Is it in stock	I do not know if it is in stock 	A9LX66EQWDRQ5	
Does the exemption apply to repairs , alterations , or items for rent 	I do not know if the exemption applies to repairs , alterations , or items for rent 	A3SS1F4F3JE7CU
Can I Learn to Dance 	I do not know if you can learn to dance 	AFS36YMNN8A2J
When is it a four-day weekend 	I do not know when it is a four-day weekend 	A1JBSFXMMRGSQD
What does the promise , ' And you know ' mean 	I do not know what the promise ' And you know ' means 	A5VBIZ2KIQ1R8
How do I cancel or change a reservation 	I do not know how to cancel or change a reservation	A2K9PB0U45O0MU
Can you please cancel my subscription , I can not afford it at this time 	I am not able to cancel your subscription 	A9LX66EQWDRQ5	
I just moved and need to change the address on my account . However , it does n't seem to want to let me do that 	I am not able to change the address on your account	3G9UA71JVVMAOGMQNT02GN2Q5DR7J1
The instructions tell me to first plug the red cord but i plugged the white one . Have I damaged the item 	I do not know if you have damaged the item 	337F8MIIMZ563N3LZNSPV63KF2V043
Can the local authority use the services of another local authority to undertake its zoo licensing activities 	I do not know if local authority can use services of another local authority to undertak its zoo licensing activities 	A3EJ2U51X7CLYW
Is it possible for non-Japanese to purchase Value Fare and Basic Fare discount tickets 	I do not know if it is possible for non-Japanese to purchase Value Fare and Basic Fare discount tickets 	A1JBSFXMMRGSQD
Do you have an auto-ship option every month 	I do not know if we have an auto-ship option for every month 	A31A4YKVSOYRVS	
I lost my membership card . What do I do 	I do not know what you do since you lost your membership card 	A298FAWY76NZA9
Can you please tell me what my current deductible is 	I am not able to tell you what your current deductible is 	A1J17BE20G6DKA
I need to know when exactly my order will be shipped out 	I do not know when exactly your order will be shipped out 	A185P3B2MC2K83
Do you use conflict free diamonds in your jewelry 	I do not know if we use conflict free diamonds in our jewelry 	A3GNQDFPZALU92	
Can Barnard College students receive credit for dance technique classes 	I do not know if Barnard College students receive credit for dance technique classes 	AT7ADQKXKXEWY
Can I change the time my order will be shipped 	I do not know if you can change the time 	3D4BBDG7ZHO5FJFXBPGQG2DFARW3CE
What is a private limited company 	I do not know what a private limited company is 	A13GUTDMGGZZDL
Where are restrooms in the Aviation Museum 	I do not know where the restrooms are 	A13GUTDMGGZZDL
How long after I place an order online can I pick it up in store 	I am not able to tell you how long it would be before you could pick an order up in a store after ordering it online 	A3RD486RQUI2XV
If I set up today , when will I receive my trash can 	I do not know if you will receive your trash can if you set up today 	A8F4B0854KTXO	
Is there an option to renegotiate the terms of our mortgage loan 	I do not know if there is an option to renegotiate the terms of your mortgage loan 	A31A4YKVSOYRVS	
What happens after I submit my application 	I do not know what happens after you submit your application 	A13GUTDMGGZZDL
How can I learn more 	I do not know how you can learn more 	A3CL6GEDFNQGQY
What happens when my family member or friend is discharged	I do not know what happens when your family member or friend is discharged 	A1S0R9UMW0FWAZ
I need this year 's copy of the catalog 	I am not able to get you a copy of this year 's catalog 	A2PKDWREQV1JTR
How can I give a gift membership	I do not know how to give a gift membership 	A18RMWE4BKHG6R
Send me the large please	I am not able to send you the large	A23CTGXNDDW5LC	
How many visitors can I have in my room 	I do not know how many visitors you can have in your room 	A5VBIZ2KIQ1R8
May an employer withhold payment for unused paid vacation days as part of a mass layoff or plant closing 	I do not know if an employer can withhold payment for unused paid vacation days as part of a mass layoff or plant closing 	A8O98QNRG9SHV
Is the refund credited back to the original card I used 	I do not know if the refund is credited back to the original card you used 	A31A4YKVSOYRVS	
Do you offer special assistance for customers with disabilities 	I do not know if we offer special assistance for customers with disabilities 	A9LX66EQWDRQ5
What is the best time to visit your chalet in order to see the Northern Lights 	I do not know the best time to visit our chalet in order to see the Northern Lights 	A3GNQDFPZALU92	
Are all the frames original 	I do not know if the frames are original 	A6ZEHD61NRBWA
Could I get an estimation of when I will get my order 	I am not able to give you an estimation of when you will get your order 	AD9O852KPYLHY	
Would you please e-mail me a list of all my purchases in the last two months 	I am not able to e-mail you a list of all your purchases 	A325WS381BHOHH	
Why was I asked to fill out a customer experience survey	I do not know why you were asked to fill out a customer experience survey	AYJGJAIY0EXW
What types of organizations do you work with 	I do not know what kind of organizations I work with 	APC99TPURUHR8
Do you have classes for Adults 	I am not able to tell you if we have classes for Adults 	A2UBEPT605E8T2
I 'd like to place a complaint about an agent I worked with last time who would n't stop cursing me out for having questions 	I am not able to place a complaint about an agent 	36QZ6V158955LUHCNV2RIG7X971US6
What year does an employee become eligible for catch-up deferrals on deferred compensation plans 	I do not know what year an employee becomes eligible for catch-up deferrals on deferred compensation plans 	A3UJE4WA5XADZS
Where do I park 	I do not know where you park 	A2HKTM4Z8652
If I garage the vehicle in another town , in which town do I insure it 	I do not know in which town you should insure it 	AJKA9BKC011F2
How often should I change my user password for my account	I do not know how often you should change your user password for your account	AQ64IKQFVU0BF
Do you donate to other non-profit auctions 	I do not know if we donate to other non-profit auctions 	A3MBQX8F0IZO7S
How long should I allow for my visit 	I do not know how long you should allow for your visit 	A1J0GU26323WVA
How Do I get the ' Special Offer ' deal 	I do not know how you can get the special offer 	A1NF93LWL8ABHH
How many students are in a class 	I do not know how many students are in a class 	A2K9PB0U45O0MU
What 's the maximum wait time I should allow for my order 	I do not know what the maximum wait time is that you should allow for your order 	A19F9CLZ0XWBYR	
I noticed that my check book and my online account does not add up , could you please look at my account and let me know what I am missing in my checkbook 	I am not able to look at your account and let you know what you are missing in your checkbook	3SBX2M1TKDFURG8KGLM4ACU2S6SQ4Q
It 's been almost a month and I still have n't seen my package . What steps do I have to take to get a refund 	I do not know what steps have to be taken to get a refund 	3IYI9285WSSG0XHMEA8DW9U46OICJZ
Can you tell me if you have any reservations still available for the night of July 4th 	I am not able to tell you if we have any reservations still available for the night of July 4th	3NZ1E5QA6ZTPJTAVB88OKF5H62N5BZ
Can I purchase Minecraft : Education Edition if I am a parent , student , or individual consumer 	I do not know if you can purchase Minecraft : Education Edition if you are a parent , student , or individual consumer	A1GNG0J27JYSUB
I need to delay my subscription 	I am not able to delay your subscription	APF1EAZT104LQ
I can not see my direct reports in Absence Management 	I am not able to see your direct reports in Absence Management	A23CTGXNDDW5LC
I got a suspicious e-mail and wanted to check on my account security . Did someone try to change my password yesterday 	I do not know if someone changed your password 	3UDTAB6HH6R70T9XGIOGCEE01U909Z
Do school children need to be accompanied 	I do not know if school children need to be accompanied 	A13GUTDMGGZZDL
I want to know if you guys take reservations on Friday or Sat 	I do not know if you guys take reservations on Friday or Sat 	3X878VYTIEAUJE0U439H1PAYC6A7FY
How long do I have to issue an employee their final check 	I do not know how long you have to issue an employee their final check 	A13GUTDMGGZZDL
Can I upgrade my membership	I do not know if you can upgrade your membership	A23CTGXNDDW5LC
Can I look up my gift card balance online 	I do not know if you can look up your gift card balance online 	A16VTK6KZ1U69H
How do I cancel my application 	I do not know you can cancel your application 	A8O98QNRG9SHV
Do you have lockers available for Rent	I do not know if we have lockers available for rent 	A13GUTDMGGZZDL
Do you provide a AAA discount 	I do not know if we provide a AAA discount 	A2IXBTOWQRCLPZ	
The lady in my line is trying to purchase alcohol but i see a young girl with her who does n't look old enough to consume alcohol , do i still ring it up for her 	I do not know if you still ring her up for the alcohol purchase 	3KWGG5KP6JU615N7H7L5C1MLAIDCM3
Who from customer service is available to help me 	I do not know who can help you from customer service	APF1EAZT104LQ
When would there only be one blind instead of two 	I do not know when there would be only one blind instead of two 	AI3HPZQC9GMBY
How many people visit the museum yearly 	I do not know how many people visit the museum yearly 	ARKAJ6PL85CME
Does the Museum offer programs for families 	I do not know if the museum offers programs for families 	A2NI2HSU84PHJW
How many locations does your company have ? I 'd be interested in showing your sales team my products 	I do not know how many locations the company has 	3HEA4ZVWVDENUDTMAYHBHT5PW6155Y
I placed my order several weeks ago and still have n't received my item . Is there a tracking number I can use to find out where it is 	I do not know if there is a tracking number you can use to find out where it is	3GITHABACYDZL5G5WFBZD32Z3HA2NK
Can you tell me why this order I placed weeks ago still has n't arrived at my door step 	I am not able to tell you why this order you placed weeks ago still has n't arrived at your door step	3PIOQ99R7YE85HP7FZL5JMXRM8TUNU
Is Welzoo limited to just the members of Student Organizations 	I do not know if Welzoo is limited to just the members of Student Organizations 	A2RHBR7XZGUI1C
How can I buy Cognizant stock 	I do not know how you can buy Cognizant stock	A23CTGXNDDW5LC
Where are your products sourced from 	I do not know where our products are sourced from 	AE9M4Z1NCYSDM	
What if my goods arrive broken 	I do not know what to do if your goods arrive broken 	APC99TPURUHR8
I have a long line and it is very busy but i see a spill down the lane where a carton of eggs dropped , do i need to clean it up or call maintenance 	I do not know if you need to clean it up or call maintenance 	3KWGG5KP6JU615N7H7L5C1MLAIDCM3
Who can I speak to about creating a new account 	I do not know who you can speak to about creating a new account 	A2PKDWREQV1JTR
Has my order been sent yet 	I do not know if your order has been sent yet	A23CTGXNDDW5LC
Where are your ATMs located 	I do not know where the ATMs are located 	A1AVKKVWWFUGLT
Do I need to reserve a wheelchair before my visit 	I do not know if you need to reserve a wheelchair before your visit 	A1JBSFXMMRGSQD
What is your return policy ? I ordered some school clothes for my son last month . They 've been sitting in their package until today , when he finally tried them on . Everything was too small . So can I still return them , even though it has been a month 	I do not know if you can still return them 	3DFYDSXB2WSCMRYM01TDQFGADOOUJQ
Do your used cars come with warranties 	I do not know if our used cars come with warranties 	A16VTK6KZ1U69H
Should I apply for financing directly with Chase or at a dealership 	I do not know if you should apply for financing directly with Chase or at a dealership 	A1JBSFXMMRGSQD
Do you have an observation window 	I do not know if we have an observation window 	A3U0VQ420HIMQ0
How much does it cost to rent this car for one day 	I do not know how much it costs to rent this car for one day 	A9LX66EQWDRQ5	
Is this shirt on clearance 	I do not know if this shirt is on clearance 	A31A4YKVSOYRVS	
how long is the average project assignment 	I do not know how long the average project assignment is	A23CTGXNDDW5LC
Someone from my family has donated an object to the Museum . Is it available for viewing 	I do not know if the item is available for viewing 	A2UBEPT605E8T2
Do you offer call recording 	I do not know if we offer call recording 	A3GNQDFPZALU92	
Can you check my credit card balance 	I am not able to check your credit card balance 	A325WS381BHOHH	
When are salary increases effective 	I do not know when salary increases are effective	APF1EAZT104LQ
I need to pay my insurance premium over the phone , can you help me 	I am not able to help you pay your insurance premium over the phone	A23CTGXNDDW5LC
Does TSA provide any discounts , promotions or reimbursement assistance to cover the $ 85 the TSA Pre ✓ ® application fee 	I do not know if TSA provides any discounts , promotions or reimbursement assistance to cover the $ 85 TSA Pre ✓ ® application fee 	AZLZA0Q87TJZO
Can you explain this new charge on my bill 	I am not able to explain the new charge on your bill 	AD9O852KPYLHY	
Is there a gift shop for SOUVENIRS	I do not know if there is a gift shop for souvenirs 	A2K9PB0U45O0MU
Can I order replacement parts through your company	I do not know if you can order replacement parts through our company	AYJGJAIY0EXW
How can I replace a lost/stolen membership card 	I do not know how you could replace a lost/stolen membership card 	APC99TPURUHR8
Do you offer student discounts 	I do not know if we offer student discounts 	ASFR82SJYMGNU
What should I do if I ca n't pay the fine immediately 	I do not know what you should do if you ca n't pay the fine immediately 	A2HKTM4Z8652
How do I file for Promotion Examinations Online 	I do not know how you file for Promotion Examinations Online 	A1JBSFXMMRGSQD
Is there parking at the museum 	I do not know if there is parking at the museum 	A16VTK6KZ1U69H
Can I make a donation to support the Prado Museum without being a member 	I do not know if you can make a donation to support the Prado Museum without being a member 	A1J0GU26323WVA
If I am disabled or have special needs , how can the City accommodate me 	I do not know how the City can accommodate you if you are disabled or have special needs 	A116N2LEI6O7HB
How do I get a WCs membership with my IDNYC Municipal Id Card	I do not know how you get a WCS membership with your IDNYC municipal ID card 	AZLZA0Q87TJZO
Are parents allowed into the studio while classes are in session 	I do not know if parents are allowed into the studio while classes are in session 	A3CL6GEDFNQGQY
There are so many schools in the U.S. . How do I decide which schools to apply to 	I do not know why there are so many schools in the US . I am not able to help you decide which ones you should apply to 	A1F46RJTOXQM4J
When is the best time to visit the Children 's Museum 	I do not know the best time to visit the Children 's Museum 	A2K9PB0U45O0MU
How do I register my child 	I do not know how you register your child 	A3I9FTHSULHPYS
I am tired of giving you my account number . Is there another way you can verify my identity 	I am not able to identify your identity in any other way 	3YO4AH2FPDCDSSQJXKZ2Y94PBUCQ0A
The time of my flight was changed after I purchased my ticket , but I am unable to make it to the airport at that time . Can I get a refund or a new flight that works with my schedule 	I do not know if you can get a refund or a new flight that works with your schedule	3PKVGQTFIHCA1O14I7ZBVR8EJTTRYD
What are your policies on shipping returns 	I do not know what our policies are on shipping returns 	A3GNQDFPZALU92	
Where can we get a golf cart 	I do not know where you can get a golf cart	A23CTGXNDDW5LC
What products does CDW offer 	I do not know what products CDW offers 	A9LX66EQWDRQ5
I would like to donate my body to the Museum . How do I do this 	I do not know how you would donate your body to the Museum 	A16VTK6KZ1U69H
What is the 9/11 Memorial Museum 	I do not know what the 9/11 Memorial Museum is 	A7SXWHGK8B40R
How is the museum funded 	I do not know how the museum is funded 	A16NITTBMCSN0V
Is it possible to use my $ 30 groupon for the hot yoga instead of the chair yoga 	I do not know if it is possible to use your $ 30 groupon for the hot yoga instead of the chair yoga	3LCXHSGDLTYOWYKQXVNMEYLUNJ7SEN
What Should I Do If I Have Altitude Sickness 	I do not know what you should do if you have altitude sickness 	A13GUTDMGGZZDL
What is meant by extension 	I do not know what is meant by extension 	A325WS381BHOHH
Do I have to buy tickets 	I do not know if you have to buy tickets 	A1NF93LWL8ABHH
Can I do work experience at Chester Zoo 	I do not know if you can do work experience at Chester Zoo 	A9LX66EQWDRQ5
How do I register for dance courses 	I do not know how to register for dance courses 	A9LX66EQWDRQ5
I want to know the number I can call to check on my order in the future 	I do not know the number you can call to check on your order in the future 	A325WS381BHOHH	
Are children included in my membership 	I do not know if children are included in your membership 	A16NITTBMCSN0V
Has my order shipped yet 	I do not know if your order has shipped yet 	A325WS381BHOHH	
Does your company 's monthly membership have different tiers or is it all one level 	I do not know whether if company 's monthly membership has different tiers or if it is all one level 	A9LX66EQWDRQ5	
What statutory holidays should employees on time sheets -LRB- casual employees -RRB- be paid for 	I do not know what statutory holidays employees on time sheets -LRB- casual employees -RRB- should be paid for 	A7SXWHGK8B40R
Am I required to keep a minimum balance in the accout 	I do not know if you are required to keep a minimum balance in your account 	A1GAARR4GOOZCO	
Do WRS members enjoy any discount off registration fees	I do not know if WRS members enjoy any discount off registration fees	A7SXWHGK8B40R
I need an order to be redirected 	I am not able to redirect an order 	A1JBSFXMMRGSQD
I am divorced with one child . This year my ex-spouse , who is the noncustodial parent , will claim an exemption for our child . Do I still qualify as head of household 	I am not able to tell if you will qualify as head of household based on the information available 	A1THXHPVWVEWNZ
Would you be able to help me set a later shipping date for my item 	I am not able to help you set a later shipping date for your item 	A9LX66EQWDRQ5	
Can children or infants attend the event 	I do not know if children or infants can attend 	A2115OWJ0CKOB3
Do you have the new Xbox that just came out 	I do not know if we have the new Xbox that just came out 	A3U6CLX7HD0SMF	
What can I do to lower my interest 	I do not know what you can do to lower your interest	A23CTGXNDDW5LC
Is this item always in stock 	I do not know if this item is always in stock 	A3GNQDFPZALU92	
Do you offer discounts or price breaks 	I do not know if discounts or price breaks are offered 	A235UQRA8GE18X
Do you off this item in different colors 	I do not know if this item is offered in different colors 	A3U6CLX7HD0SMF	
Our credit card machine just went down , can I reset it here or do you do it remotely 	I do not know how you can reset it 	3FVBZG9CLJ60FZRGEUC8PVCOK7H0HP
What electronic payment processing systems do you use to process credit cards and checks 	I do not know what electronic payment processing systems we use to process credit cards and checks 	A3RD486RQUI2XV
Who is your claims rep in Montana 	I do not know who our claims rep in Montana is 	A325WS381BHOHH	
Would it be possible to change my shipping speed to two-day even though the original order did not have expedited shipping 	I do not know if you can change your shipping speed 	3XWUWJ18TLIL079GC0XRXHPLU4MUUM
What information should an employer provide to its employees about its succession planning process 	I do not know What information an employer should provide to its employees about its succession planning process	ATQD23E8ESFSI
How much is the registration fee 	I do not know how much the registration fee is 	A5VBIZ2KIQ1R8
How old do you have to be to purchase fireworks 	I do not know how old you have to be to purchase fireworks 	AE9M4Z1NCYSDM	
I 'd like to have this product mailed to me at a later time as I will be out on vacation , what do I do 	I do not know what you do	3NOEP8XAU4U0P6VF0J9K7I1QG5BXPL
What extra fees will I have to pay if I decide to purchase the car 	I do not know the extra fees you will have to pay if you decide to purchase the car 	A2K9PB0U45O0MU
Which museums are participating 	I do not know which museums are participating 	A2K9PB0U45O0MU
